16:06:34     17686704  14836132     45,62    720920   6092356  18359552     50,40   9306696   4570132     43952
16:06:35     17703932  14818904     45,56    720920   6074544  18343096     50,35   9306696   4552320     43952
16:06:36     17706544  14816292     45,56    720920   6074476  18343096     50,35   9303708   4552260     43952
16:06:37     17706544  14816292     45,56    720928   6074468  18343096     50,35   9303708   4552260     43976
16:06:38     17707164  14815672     45,55    720928   6074476  18343096     50,35   9303444   4552260     43976
