16:06:34            4      1399      1,31      0,77      0,86         0
16:06:35            2      1399      1,31      0,77      0,86         0
16:06:36            4      1399      1,21      0,76      0,85         0
16:06:37            4      1401      1,21      0,76      0,85         0
16:06:38            5      1387      1,21      0,76      0,85         0
